Knr;Kommune;Folketall;Barnehage;Grunnskole;25-66_År;Andel_Sysselsatte;Eldre;Korrigert_netto_driftsresultat;Netto_lånegjeld;Disposisjonsfond;Kostnadsnivå_(dagens);Inntektsnivå
1826;Hattfjelldal;1,9;2;3,2;3,1;5;3,2;6;5,2;6;2,5;4
722;Nøtterøy;3,6;2,7;4,4;3,8;2,6;3,2;3,6;4;4,2;5,6;1,1
1548;Fræna;3,5;3,8;3,3;3,2;4,4;4;4,6;3,6;3,8;4,4;1,9
1149;Karmøy;3,4;2,3;4,4;3,6;2,3;4,7;4;5,3;3,4;4,8;1,3
821;Bø;5,6;3,8;5,4;5,5;1,3;1;3,7;4,1;2,2;4,8;1,8
512;Lesja;1,3;2,7;2,2;1,4;5,3;2,2;6;5,1;5,4;5;3,3
904;Grimstad;5,1;4,3;4,4;5,4;1,2;4,4;2,5;4,6;3;4,8;1,6
617;Gol;2,8;2,9;3,5;3,6;5,8;3,1;3,9;2;5,2;4,9;2,5
1663;Malvik;5;2,9;4,6;5,4;3,8;5,9;2,1;4,4;1,6;4,8;1,1
2015;Hasvik;3,1;1,6;3,9;3,9;1;2,5;6;5,7;6;1,8;4,8
625;Nedre Eiker;4,7;3,3;4,4;5,1;2,5;4,1;2,8;3,6;1,7;6;1
1860;Vestvågøy;3,8;2,9;4,7;4,2;2,7;3,2;4,1;4,1;3,1;4,9;1,7
427;Elverum;4,5;4,2;4,1;4,7;2,6;2,6;4,1;3,5;2,2;5,4;1,5
1702;Steinkjer;3,6;3,6;4,7;3,6;3,2;3;3,2;3,8;3,7;5,8;1,3
1114;Bjerkreim;4,1;2,7;4;4,2;6;2,1;3,4;6;3,6;4,2;1,9
1866;Hadsel;3,1;3,1;4,2;3,3;2,2;4;5,7;3,1;3,5;4,3;1,3
1130;Strand;4,4;3,6;4,6;4,5;3,2;3,8;2,8;3,8;3,4;4,8;1,6
1520;Ørsta;3,5;3,4;3,8;3,6;4,3;2;4,1;3,6;3,9;5,4;1,5
811;Siljan;2,1;1,6;3,2;3;4,4;2,6;4,7;4,1;5,8;5;1,7
